Phase,ConfigIndex,ConfigID,ProblemTag,RunStart,RunEnd,RunsPerCase
C,9,C09,WFG5_M3,503151,503180,30
C,9,C09,MaF1_M3,503181,503210,30
C,9,C09,MaF5_M3,503211,503240,30
C,10,C10,ZDT1_M2,503241,503270,30
C,10,C10,ZDT6_M2,503271,503300,30
C,10,C10,WFG4_M2,503301,503330,30
C,10,C10,WFG9_M2,503331,503360,30
C,10,C10,DTLZ1_M3,503361,503390,30
C,10,C10,DTLZ2_M3,503391,503420,30
C,10,C10,DTLZ4_M3,503421,503450,30
C,10,C10,DTLZ7_M3,503451,503480,30
C,10,C10,WFG2_M3,503481,503510,30
C,10,C10,WFG5_M3,503511,503540,30
C,10,C10,MaF1_M3,503541,503570,30
C,10,C10,MaF5_M3,503571,503600,30
C,11,C11,ZDT1_M2,503601,503630,30
C,11,C11,ZDT6_M2,503631,503660,30
C,11,C11,WFG4_M2,503661,503690,30
C,11,C11,WFG9_M2,503691,503720,30
C,11,C11,DTLZ1_M3,503721,503750,30
C,11,C11,DTLZ2_M3,503751,503780,30
C,11,C11,DTLZ4_M3,503781,503810,30
C,11,C11,DTLZ7_M3,503811,503840,30
C,11,C11,WFG2_M3,503841,503870,30
C,11,C11,WFG5_M3,503871,503900,30
C,11,C11,MaF1_M3,503901,503930,30
C,11,C11,MaF5_M3,503931,503960,30
C,12,C12,ZDT1_M2,503961,503990,30
C,12,C12,ZDT6_M2,503991,504020,30
C,12,C12,WFG4_M2,504021,504050,30
C,12,C12,WFG9_M2,504051,504080,30
C,12,C12,DTLZ1_M3,504081,504110,30
C,12,C12,DTLZ2_M3,504111,504140,30
C,12,C12,DTLZ4_M3,504141,504170,30
C,12,C12,DTLZ7_M3,504171,504200,30
C,12,C12,WFG2_M3,504201,504230,30
C,12,C12,WFG5_M3,504231,504260,30
C,12,C12,MaF1_M3,504261,504290,30
C,12,C12,MaF5_M3,504291,504320,30
C,13,C13,ZDT1_M2,504321,504350,30
C,13,C13,ZDT6_M2,504351,504380,30
C,13,C13,WFG4_M2,504381,504410,30
C,13,C13,WFG9_M2,504411,504440,30
C,13,C13,DTLZ1_M3,504441,504470,30
C,13,C13,DTLZ2_M3,504471,504500,30
C,13,C13,DTLZ4_M3,504501,504530,30
C,13,C13,DTLZ7_M3,504531,504560,30
C,13,C13,WFG2_M3,504561,504590,30
C,13,C13,WFG5_M3,504591,504620,30
C,13,C13,MaF1_M3,504621,504650,30
C,13,C13,MaF5_M3,504651,504680,30
C,14,C14,ZDT1_M2,504681,504710,30
C,14,C14,ZDT6_M2,504711,504740,30
C,14,C14,WFG4_M2,504741,504770,30
C,14,C14,WFG9_M2,504771,504800,30
C,14,C14,DTLZ1_M3,504801,504830,30
C,14,C14,DTLZ2_M3,504831,504860,30
C,14,C14,DTLZ4_M3,504861,504890,30
C,14,C14,DTLZ7_M3,504891,504920,30
C,14,C14,WFG2_M3,504921,504950,30
C,14,C14,WFG5_M3,504951,504980,30
C,14,C14,MaF1_M3,504981,505010,30
C,14,C14,MaF5_M3,505011,505040,30
C,15,C15,ZDT1_M2,505041,505070,30
C,15,C15,ZDT6_M2,505071,505100,30
C,15,C15,WFG4_M2,505101,505130,30
C,15,C15,WFG9_M2,505131,505160,30
C,15,C15,DTLZ1_M3,505161,505190,30
C,15,C15,DTLZ2_M3,505191,505220,30
C,15,C15,DTLZ4_M3,505221,505250,30
C,15,C15,DTLZ7_M3,505251,505280,30
C,15,C15,WFG2_M3,505281,505310,30
C,15,C15,WFG5_M3,505311,505340,30
C,15,C15,MaF1_M3,505341,505370,30
C,15,C15,MaF5_M3,505371,505400,30
C,16,C16,ZDT1_M2,505401,505430,30
C,16,C16,ZDT6_M2,505431,505460,30
C,16,C16,WFG4_M2,505461,505490,30
C,16,C16,WFG9_M2,505491,505520,30
C,16,C16,DTLZ1_M3,505521,505550,30
C,16,C16,DTLZ2_M3,505551,505580,30
C,16,C16,DTLZ4_M3,505581,505610,30
C,16,C16,DTLZ7_M3,505611,505640,30
C,16,C16,WFG2_M3,505641,505670,30
C,16,C16,WFG5_M3,505671,505700,30
C,16,C16,MaF1_M3,505701,505730,30
C,16,C16,MaF5_M3,505731,505760,30
C,17,C17,ZDT1_M2,505761,505790,30
C,17,C17,ZDT6_M2,505791,505820,30
C,17,C17,WFG4_M2,505821,505850,30
C,17,C17,WFG9_M2,505851,505880,30
C,17,C17,DTLZ1_M3,505881,505910,30
C,17,C17,DTLZ2_M3,505911,505940,30
C,17,C17,DTLZ4_M3,505941,505970,30
C,17,C17,DTLZ7_M3,505971,506000,30
C,17,C17,WFG2_M3,506001,506030,30
C,17,C17,WFG5_M3,506031,506060,30
C,17,C17,MaF1_M3,506061,506090,30
C,17,C17,MaF5_M3,506091,506120,30
C,18,C18,ZDT1_M2,506121,506150,30
C,18,C18,ZDT6_M2,506151,506180,30
C,18,C18,WFG4_M2,506181,506210,30
C,18,C18,WFG9_M2,506211,506240,30
C,18,C18,DTLZ1_M3,506241,506270,30
C,18,C18,DTLZ2_M3,506271,506300,30
C,18,C18,DTLZ4_M3,506301,506330,30
C,18,C18,DTLZ7_M3,506331,506360,30
C,18,C18,WFG2_M3,506361,506390,30
C,18,C18,WFG5_M3,506391,506420,30
C,18,C18,MaF1_M3,506421,506450,30
C,18,C18,MaF5_M3,506451,506480,30
C,19,C19,ZDT1_M2,506481,506510,30
C,19,C19,ZDT6_M2,506511,506540,30
C,19,C19,WFG4_M2,506541,506570,30
C,19,C19,WFG9_M2,506571,506600,30
C,19,C19,DTLZ1_M3,506601,506630,30
C,19,C19,DTLZ2_M3,506631,506660,30
C,19,C19,DTLZ4_M3,506661,506690,30
C,19,C19,DTLZ7_M3,506691,506720,30
C,19,C19,WFG2_M3,506721,506750,30
C,19,C19,WFG5_M3,506751,506780,30
C,19,C19,MaF1_M3,506781,506810,30
C,19,C19,MaF5_M3,506811,506840,30
C,20,C20,ZDT1_M2,506841,506870,30
C,20,C20,ZDT6_M2,506871,506900,30
C,20,C20,WFG4_M2,506901,506930,30
C,20,C20,WFG9_M2,506931,506960,30
C,20,C20,DTLZ1_M3,506961,506990,30
C,20,C20,DTLZ2_M3,506991,507020,30
C,20,C20,DTLZ4_M3,507021,507050,30
C,20,C20,DTLZ7_M3,507051,507080,30
C,20,C20,WFG2_M3,507081,507110,30
C,20,C20,WFG5_M3,507111,507140,30
C,20,C20,MaF1_M3,507141,507170,30
C,20,C20,MaF5_M3,507171,507200,30
C,21,C21,ZDT1_M2,507201,507230,30
C,21,C21,ZDT6_M2,507231,507260,30
C,21,C21,WFG4_M2,507261,507290,30
C,21,C21,WFG9_M2,507291,507320,30
C,21,C21,DTLZ1_M3,507321,507350,30
C,21,C21,DTLZ2_M3,507351,507380,30
C,21,C21,DTLZ4_M3,507381,507410,30
C,21,C21,DTLZ7_M3,507411,507440,30
C,21,C21,WFG2_M3,507441,507470,30
C,21,C21,WFG5_M3,507471,507500,30
C,21,C21,MaF1_M3,507501,507530,30
C,21,C21,MaF5_M3,507531,507560,30
C,22,C22,ZDT1_M2,507561,507590,30
C,22,C22,ZDT6_M2,507591,507620,30
C,22,C22,WFG4_M2,507621,507650,30
C,22,C22,WFG9_M2,507651,507680,30
C,22,C22,DTLZ1_M3,507681,507710,30
C,22,C22,DTLZ2_M3,507711,507740,30
C,22,C22,DTLZ4_M3,507741,507770,30
C,22,C22,DTLZ7_M3,507771,507800,30
C,22,C22,WFG2_M3,507801,507830,30
C,22,C22,WFG5_M3,507831,507860,30
C,22,C22,MaF1_M3,507861,507890,30
C,22,C22,MaF5_M3,507891,507920,30
C,23,C23,ZDT1_M2,507921,507950,30
C,23,C23,ZDT6_M2,507951,507980,30
C,23,C23,WFG4_M2,507981,508010,30
C,23,C23,WFG9_M2,508011,508040,30
C,23,C23,DTLZ1_M3,508041,508070,30
C,23,C23,DTLZ2_M3,508071,508100,30
C,23,C23,DTLZ4_M3,508101,508130,30
C,23,C23,DTLZ7_M3,508131,508160,30
C,23,C23,WFG2_M3,508161,508190,30
C,23,C23,WFG5_M3,508191,508220,30
C,23,C23,MaF1_M3,508221,508250,30
C,23,C23,MaF5_M3,508251,508280,30
C,24,C24,ZDT1_M2,508281,508310,30
C,24,C24,ZDT6_M2,508311,508340,30
C,24,C24,WFG4_M2,508341,508370,30
C,24,C24,WFG9_M2,508371,508400,30
C,24,C24,DTLZ1_M3,508401,508430,30
C,24,C24,DTLZ2_M3,508431,508460,30
C,24,C24,DTLZ4_M3,508461,508490,30
C,24,C24,DTLZ7_M3,508491,508520,30
C,24,C24,WFG2_M3,508521,508550,30
C,24,C24,WFG5_M3,508551,508580,30
C,24,C24,MaF1_M3,508581,508610,30
C,24,C24,MaF5_M3,508611,508640,30
C,25,C25,ZDT1_M2,508641,508670,30
C,25,C25,ZDT6_M2,508671,508700,30
C,25,C25,WFG4_M2,508701,508730,30
C,25,C25,WFG9_M2,508731,508760,30
C,25,C25,DTLZ1_M3,508761,508790,30
C,25,C25,DTLZ2_M3,508791,508820,30
C,25,C25,DTLZ4_M3,508821,508850,30
C,25,C25,DTLZ7_M3,508851,508880,30
C,25,C25,WFG2_M3,508881,508910,30
C,25,C25,WFG5_M3,508911,508940,30
C,25,C25,MaF1_M3,508941,508970,30
C,25,C25,MaF5_M3,508971,509000,30
C,26,C26,ZDT1_M2,509001,509030,30
C,26,C26,ZDT6_M2,509031,509060,30
C,26,C26,WFG4_M2,509061,509090,30
C,26,C26,WFG9_M2,509091,509120,30
C,26,C26,DTLZ1_M3,509121,509150,30
C,26,C26,DTLZ2_M3,509151,509180,30
C,26,C26,DTLZ4_M3,509181,509210,30
C,26,C26,DTLZ7_M3,509211,509240,30
C,26,C26,WFG2_M3,509241,509270,30
C,26,C26,WFG5_M3,509271,509300,30
C,26,C26,MaF1_M3,509301,509330,30
C,26,C26,MaF5_M3,509331,509360,30
C,27,C27,ZDT1_M2,509361,509390,30
C,27,C27,ZDT6_M2,509391,509420,30
C,27,C27,WFG4_M2,509421,509450,30
C,27,C27,WFG9_M2,509451,509480,30
C,27,C27,DTLZ1_M3,509481,509510,30
C,27,C27,DTLZ2_M3,509511,509540,30
C,27,C27,DTLZ4_M3,509541,509570,30
C,27,C27,DTLZ7_M3,509571,509600,30
C,27,C27,WFG2_M3,509601,509630,30
C,27,C27,WFG5_M3,509631,509660,30
C,27,C27,MaF1_M3,509661,509690,30
C,27,C27,MaF5_M3,509691,509720,30
C,28,C28,ZDT1_M2,509721,509750,30
C,28,C28,ZDT6_M2,509751,509780,30
C,28,C28,WFG4_M2,509781,509810,30
C,28,C28,WFG9_M2,509811,509840,30
C,28,C28,DTLZ1_M3,509841,509870,30
C,28,C28,DTLZ2_M3,509871,509900,30
C,28,C28,DTLZ4_M3,509901,509930,30
C,28,C28,DTLZ7_M3,509931,509960,30
C,28,C28,WFG2_M3,509961,509990,30
C,28,C28,WFG5_M3,509991,510020,30
C,28,C28,MaF1_M3,510021,510050,30
C,28,C28,MaF5_M3,510051,510080,30
C,29,C29,ZDT1_M2,510081,510110,30
C,29,C29,ZDT6_M2,510111,510140,30
C,29,C29,WFG4_M2,510141,510170,30
C,29,C29,WFG9_M2,510171,510200,30
C,29,C29,DTLZ1_M3,510201,510230,30
C,29,C29,DTLZ2_M3,510231,510260,30
C,29,C29,DTLZ4_M3,510261,510290,30
C,29,C29,DTLZ7_M3,510291,510320,30
C,29,C29,WFG2_M3,510321,510350,30
C,29,C29,WFG5_M3,510351,510380,30
C,29,C29,MaF1_M3,510381,510410,30
C,29,C29,MaF5_M3,510411,510440,30
C,30,C30,ZDT1_M2,510441,510470,30
C,30,C30,ZDT6_M2,510471,510500,30
C,30,C30,WFG4_M2,510501,510530,30
C,30,C30,WFG9_M2,510531,510560,30
C,30,C30,DTLZ1_M3,510561,510590,30
C,30,C30,DTLZ2_M3,510591,510620,30
C,30,C30,DTLZ4_M3,510621,510650,30
C,30,C30,DTLZ7_M3,510651,510680,30
C,30,C30,WFG2_M3,510681,510710,30
C,30,C30,WFG5_M3,510711,510740,30
C,30,C30,MaF1_M3,510741,510770,30
C,30,C30,MaF5_M3,510771,510800,30
C,31,C31,ZDT1_M2,510801,510830,30
C,31,C31,ZDT6_M2,510831,510860,30
C,31,C31,WFG4_M2,510861,510890,30
C,31,C31,WFG9_M2,510891,510920,30
C,31,C31,DTLZ1_M3,510921,510950,30
C,31,C31,DTLZ2_M3,510951,510980,30
C,31,C31,DTLZ4_M3,510981,511010,30
C,31,C31,DTLZ7_M3,511011,511040,30
C,31,C31,WFG2_M3,511041,511070,30
C,31,C31,WFG5_M3,511071,511100,30
C,31,C31,MaF1_M3,511101,511130,30
C,31,C31,MaF5_M3,511131,511160,30
C,32,C32,ZDT1_M2,511161,511190,30
C,32,C32,ZDT6_M2,511191,511220,30
C,32,C32,WFG4_M2,511221,511250,30
C,32,C32,WFG9_M2,511251,511280,30
C,32,C32,DTLZ1_M3,511281,511310,30
C,32,C32,DTLZ2_M3,511311,511340,30
C,32,C32,DTLZ4_M3,511341,511370,30
C,32,C32,DTLZ7_M3,511371,511400,30
C,32,C32,WFG2_M3,511401,511430,30
C,32,C32,WFG5_M3,511431,511460,30
C,32,C32,MaF1_M3,511461,511490,30
C,32,C32,MaF5_M3,511491,511520,30
C,33,C33,ZDT1_M2,511521,511550,30
C,33,C33,ZDT6_M2,511551,511580,30
C,33,C33,WFG4_M2,511581,511610,30
C,33,C33,WFG9_M2,511611,511640,30
C,33,C33,DTLZ1_M3,511641,511670,30
C,33,C33,DTLZ2_M3,511671,511700,30
C,33,C33,DTLZ4_M3,511701,511730,30
C,33,C33,DTLZ7_M3,511731,511760,30
C,33,C33,WFG2_M3,511761,511790,30
C,33,C33,WFG5_M3,511791,511820,30
C,33,C33,MaF1_M3,511821,511850,30
C,33,C33,MaF5_M3,511851,511880,30
C,34,C34,ZDT1_M2,511881,511910,30
C,34,C34,ZDT6_M2,511911,511940,30
C,34,C34,WFG4_M2,511941,511970,30
C,34,C34,WFG9_M2,511971,512000,30
C,34,C34,DTLZ1_M3,512001,512030,30
C,34,C34,DTLZ2_M3,512031,512060,30
C,34,C34,DTLZ4_M3,512061,512090,30
C,34,C34,DTLZ7_M3,512091,512120,30
C,34,C34,WFG2_M3,512121,512150,30
C,34,C34,WFG5_M3,512151,512180,30
C,34,C34,MaF1_M3,512181,512210,30
C,34,C34,MaF5_M3,512211,512240,30
C,35,C35,ZDT1_M2,512241,512270,30
C,35,C35,ZDT6_M2,512271,512300,30
C,35,C35,WFG4_M2,512301,512330,30
C,35,C35,WFG9_M2,512331,512360,30
C,35,C35,DTLZ1_M3,512361,512390,30
C,35,C35,DTLZ2_M3,512391,512420,30
C,35,C35,DTLZ4_M3,512421,512450,30
C,35,C35,DTLZ7_M3,512451,512480,30
C,35,C35,WFG2_M3,512481,512510,30
C,35,C35,WFG5_M3,512511,512540,30
C,35,C35,MaF1_M3,512541,512570,30
C,35,C35,MaF5_M3,512571,512600,30
C,36,C36,ZDT1_M2,512601,512630,30
C,36,C36,ZDT6_M2,512631,512660,30
C,36,C36,WFG4_M2,512661,512690,30
C,36,C36,WFG9_M2,512691,512720,30
C,36,C36,DTLZ1_M3,512721,512750,30
C,36,C36,DTLZ2_M3,512751,512780,30
C,36,C36,DTLZ4_M3,512781,512810,30
C,36,C36,DTLZ7_M3,512811,512840,30
C,36,C36,WFG2_M3,512841,512870,30
C,36,C36,WFG5_M3,512871,512900,30
C,36,C36,MaF1_M3,512901,512930,30
C,36,C36,MaF5_M3,512931,512960,30
